datetime,user,steps,hr,intensity,kind,school
2021-05-17 00:15:00,10,0,69,0,112,True
2021-05-17 00:15:00,11,0,255,0,112,True
2021-05-17 00:15:00,12,0,255,0,115,True
2021-05-17 00:15:00,15,0,255,0,115,True
2021-05-17 00:15:00,16,0,80,0,112,True
2021-05-17 00:15:00,17,0,64,0,112,True
2021-05-17 00:16:00,4,0,76,0,122,True
2021-05-17 00:16:00,5,0,255,40,89,True
2021-05-17 00:16:00,6,0,255,0,112,True
2021-05-17 00:16:00,9,0,63,0,112,True
2021-05-17 00:16:00,10,0,255,0,112,True
2021-05-17 00:16:00,11,0,67,0,112,True
2021-05-17 00:16:00,12,0,255,0,115,True
2021-05-17 00:16:00,15,0,255,0,115,True
2021-05-17 00:16:00,16,0,255,0,112,True
2021-05-17 00:16:00,17,0,255,0,112,True
2021-05-17 00:17:00,4,0,255,0,112,True
2021-05-17 00:17:00,5,0,102,29,89,True
2021-05-17 00:17:00,6,0,63,0,112,True
2021-05-17 00:17:00,9,0,255,0,112,True
2021-05-17 00:17:00,10,0,69,0,112,True
2021-05-17 00:17:00,11,0,255,1,112,True
2021-05-17 00:17:00,12,0,255,0,115,True
2021-05-17 00:17:00,15,0,255,0,115,True
2021-05-17 00:17:00,16,0,78,0,112,True
2021-05-17 00:17:00,17,0,64,0,112,True
2021-05-17 00:18:00,4,0,64,0,112,True
2021-05-17 00:18:00,5,0,255,0,90,True
2021-05-17 00:18:00,6,0,255,0,112,True
2021-05-17 00:18:00,9,0,70,0,112,True
2021-05-17 00:18:00,10,0,255,0,112,True
2021-05-17 00:18:00,11,0,78,0,112,True
2021-05-17 00:18:00,12,0,255,0,115,True
2021-05-17 00:18:00,15,0,255,0,115,True
2021-05-17 00:18:00,16,0,255,0,112,True
2021-05-17 00:18:00,17,0,255,0,112,True
2021-05-17 00:19:00,4,0,255,0,112,True
2021-05-17 00:19:00,5,0,78,0,90,True
2021-05-17 00:19:00,6,0,75,0,112,True
2021-05-17 00:19:00,9,0,255,0,112,True
2021-05-17 00:19:00,10,0,69,0,112,True
2021-05-17 00:19:00,11,0,255,16,112,True
2021-05-17 00:19:00,12,0,255,0,115,True
2021-05-17 00:19:00,15,0,255,0,115,True
2021-05-17 00:19:00,16,0,85,0,112,True
2021-05-17 00:19:00,17,0,63,0,112,True
2021-05-17 00:20:00,4,0,74,0,112,True
2021-05-17 00:20:00,5,0,255,0,90,True
2021-05-17 00:20:00,6,0,255,0,112,True
2021-05-17 00:20:00,9,0,62,0,112,True
2021-05-17 00:20:00,10,0,255,0,112,True
2021-05-17 00:20:00,11,0,63,29,112,True
2021-05-17 00:20:00,12,0,255,0,115,True
2021-05-17 00:20:00,15,0,255,0,115,True
2021-05-17 00:20:00,16,0,255,0,112,True
2021-05-17 00:20:00,17,0,255,0,112,True
2021-05-17 00:21:00,4,0,255,0,112,True
2021-05-17 00:21:00,5,0,78,4,80,True
2021-05-17 00:21:00,6,0,63,0,112,True
2021-05-17 00:21:00,9,0,255,0,112,True
2021-05-17 00:21:00,10,0,68,0,112,True
2021-05-17 00:21:00,11,31,255,60,124,True
2021-05-17 00:21:00,12,0,255,0,115,True
2021-05-17 00:21:00,15,0,255,0,115,True
2021-05-17 00:21:00,16,0,79,0,112,True
2021-05-17 00:21:00,17,0,69,0,112,True
2021-05-17 00:22:00,4,0,75,0,112,True
2021-05-17 00:22:00,5,0,255,0,90,True
2021-05-17 00:22:00,6,0,255,20,112,True
2021-05-17 00:22:00,9,0,65,0,112,True
2021-05-17 00:22:00,10,0,255,0,122,True
2021-05-17 00:22:00,11,0,106,46,16,True
2021-05-17 00:22:00,12,0,255,0,115,True
2021-05-17 00:22:00,15,0,255,0,115,True
2021-05-17 00:22:00,16,0,255,0,112,True
2021-05-17 00:22:00,17,0,255,0,112,True
2021-05-17 00:23:00,4,0,255,0,112,True
2021-05-17 00:23:00,5,0,77,0,90,True
2021-05-17 00:23:00,6,0,75,0,112,True
2021-05-17 00:23:00,9,0,255,0,112,True
2021-05-17 00:23:00,10,0,68,0,122,True
2021-05-17 00:23:00,11,0,83,0,106,True
2021-05-17 00:23:00,12,0,255,0,115,True
2021-05-17 00:23:00,15,0,255,0,115,True
2021-05-17 00:23:00,16,0,79,0,112,True
2021-05-17 00:23:00,17,0,70,0,112,True
2021-05-17 00:24:00,4,0,71,0,112,True
2021-05-17 00:24:00,5,0,255,8,80,True
2021-05-17 00:24:00,6,0,255,0,112,True
2021-05-17 00:24:00,9,0,68,0,112,True
2021-05-17 00:24:00,10,0,255,0,112,True
2021-05-17 00:24:00,11,0,74,31,80,True
2021-05-17 00:24:00,12,0,255,0,115,True
2021-05-17 00:24:00,15,0,255,0,115,True
2021-05-17 00:24:00,16,0,255,0,112,True
2021-05-17 00:24:00,17,0,255,0,112,True
2021-05-17 00:25:00,4,0,255,0,112,True
2021-05-17 00:25:00,5,0,84,0,90,True
2021-05-17 00:25:00,6,0,81,27,112,True
2021-05-17 00:25:00,9,0,255,0,112,True
2021-05-17 00:25:00,10,0,67,0,112,True
2021-05-17 00:25:00,11,0,67,16,80,True
2021-05-17 00:25:00,12,0,255,0,115,True
2021-05-17 00:25:00,15,0,255,0,115,True
2021-05-17 00:25:00,16,0,79,0,122,True
2021-05-17 00:25:00,17,0,66,15,112,True
2021-05-17 00:26:00,4,0,70,0,112,True
2021-05-17 00:26:00,5,0,255,0,90,True
2021-05-17 00:26:00,6,0,255,0,121,True
2021-05-17 00:26:00,9,0,62,0,112,True
2021-05-17 00:26:00,10,0,255,0,112,True
2021-05-17 00:26:00,11,0,87,14,80,True
2021-05-17 00:26:00,12,0,255,0,115,True
2021-05-17 00:26:00,15,0,255,0,115,True
2021-05-17 00:26:00,16,0,255,0,112,True
2021-05-17 00:26:00,17,0,255,3,121,True
2021-05-17 00:27:00,4,0,255,0,112,True
2021-05-17 00:27:00,5,0,79,0,80,True
2021-05-17 00:27:00,6,0,61,0,112,True
2021-05-17 00:27:00,9,0,255,0,112,True
2021-05-17 00:27:00,10,0,68,0,122,True
2021-05-17 00:27:00,11,0,77,0,90,True
2021-05-17 00:27:00,12,0,255,0,115,True
2021-05-17 00:27:00,15,0,255,0,115,True
2021-05-17 00:27:00,16,0,86,31,112,True
2021-05-17 00:27:00,17,0,75,0,112,True
2021-05-17 00:28:00,4,0,78,0,112,True
2021-05-17 00:28:00,5,0,255,0,80,True
2021-05-17 00:28:00,6,0,255,0,112,True
2021-05-17 00:28:00,9,0,64,0,112,True
2021-05-17 00:28:00,10,0,255,0,122,True
2021-05-17 00:28:00,11,0,67,0,90,True
2021-05-17 00:28:00,12,0,255,0,115,True
2021-05-17 00:28:00,15,0,255,0,115,True
2021-05-17 00:28:00,16,0,255,0,121,True
2021-05-17 00:28:00,17,0,255,2,112,True
2021-05-17 00:29:00,4,0,255,2,112,True
2021-05-17 00:29:00,5,0,84,0,80,True
2021-05-17 00:29:00,6,0,60,0,112,True
2021-05-17 00:29:00,9,0,255,0,112,True
2021-05-17 00:29:00,10,0,68,0,112,True
2021-05-17 00:29:00,11,0,68,0,80,True
2021-05-17 00:29:00,12,0,255,0,115,True
2021-05-17 00:29:00,15,0,255,0,115,True
2021-05-17 00:29:00,16,0,86,0,122,True
2021-05-17 00:29:00,17,0,78,11,112,True
2021-05-17 00:30:00,4,0,75,0,122,True
2021-05-17 00:30:00,5,0,255,0,80,True
2021-05-17 00:30:00,6,0,255,0,112,True
2021-05-17 00:30:00,9,0,67,0,112,True
2021-05-17 00:30:00,10,0,255,0,112,True
2021-05-17 00:30:00,11,0,70,0,80,True
2021-05-17 00:30:00,12,0,255,0,115,True
2021-05-17 00:30:00,15,0,255,0,115,True
2021-05-17 00:30:00,16,0,255,0,112,True
2021-05-17 00:30:00,17,0,255,0,121,True
2021-05-17 00:31:00,4,0,255,0,122,True
2021-05-17 00:31:00,5,0,85,0,112,True
2021-05-17 00:31:00,6,0,75,0,112,True
2021-05-17 00:31:00,9,0,255,0,112,True
2021-05-17 00:31:00,10,0,68,0,112,True
2021-05-17 00:31:00,11,0,69,0,80,True
2021-05-17 00:31:00,12,0,255,0,115,True
2021-05-17 00:31:00,15,0,255,0,115,True
2021-05-17 00:31:00,16,0,69,0,112,True
2021-05-17 00:31:00,17,0,255,0,80,True
2021-05-17 00:32:00,4,0,75,36,112,True
2021-05-17 00:32:00,5,0,255,0,112,True
2021-05-17 00:32:00,6,0,255,0,112,True
2021-05-17 00:32:00,9,0,65,0,112,True
2021-05-17 00:32:00,10,0,255,0,112,True
2021-05-17 00:32:00,11,0,70,0,112,True
2021-05-17 00:32:00,12,0,255,0,115,True
2021-05-17 00:32:00,15,0,255,0,115,True
